,count,count,count,count,count,mean,mean,mean,mean,mean,sem,sem,sem,sem,sem
aggregated taxon,Acari,Collembola,Formicidae,Isoptera,Other,Acari,Collembola,Formicidae,Isoptera,Other,Acari,Collembola,Formicidae,Isoptera,Other
aggregated biome,,,,,,,,,,,,,,,
Boreal Forests/Taiga,20.0,19.0,,,13.0,508.38200595649994,616.9650844684211,,,234.09552645276923,104.65833308348482,273.85487977448156,,,74.18847089137304
Crops,,,,4.0,,,,,1144.5,,,,,271.0659513845293,
Deserts and Xeric Shrublands,,,4.0,5.0,,,,72.25,1291.2,,,,37.11552909497586,514.0363216738676,
"Mediterranean Forests, Woodlands and Scrub",,,,2.0,,,,,1590.0,,,,,0.0,
Pasture,6.0,6.0,1.0,,,2.3333333333333335,0.0,48.48982822,,,0.9545214042184237,0.0,,,
Temperate Forests,42.0,41.0,21.0,1.0,29.0,779.6674312190476,6475.045054496341,80.57142857142857,900.0,1420.9343082741377,174.35593162223913,3225.331468026989,25.97219863701986,,359.3385862542374
"Temperate Grasslands, Savannas and Shrublands",15.0,17.0,17.0,6.0,12.0,316.23498822199997,220.1332391270588,198.10400093529412,1323.6066959500001,1140.4769412418334,80.55493112791412,49.79620300609377,98.9084759585082,636.3206425052931,872.9926949289921
Tropical and Subtropical Forests,5.0,6.0,15.0,15.0,10.0,1218.0821162,80.95113748166666,32.6628009794,1762.4743732058002,662.660361341,1135.2311151882673,34.92934578751048,5.782301216932284,412.21086347731915,329.2467368021243
"Tropical and Subtropical Grasslands, Savannas and Shrublands",2.0,2.0,8.0,7.0,3.0,74.1228484,12.35014559,224.14261425,1544.0411814142858,30.790422676000002,47.496076499999994,0.9780450599999994,76.07153307953162,1078.4411199794874,13.698313124645326
Tundra,47.0,34.0,1.0,1.0,14.0,199.4101248035532,394.804593214,0.0,0.0,68.4831708917143,38.83885408138981,150.40294156417988,,,35.65014954190431
